Publisher Name,Publisher Registry Id,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,Frequency
FONCABA ASBL KBA VZW,foncaba,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Farm Africa,fa,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Farm Concern International,fci,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
Federation of Women Lawyers Kenya,fida,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
Feed the Minds,ftm-291333,1,0,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Fondo Centroamericano de Mujeres,fcam,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Free Press Unlimited,free_press_unlimited,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Frontline AIDS,f-aids,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
GPPAC Foundation,gppac,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Geneva International Centre for Humanitarian Demining,gichd,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
Global Focus,globaltfokus,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
Global Innovation Fund,gif,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Global Network of Sex Work Projects (NSWP),nswp,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Global Rights Compliance,grc2018,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
Guttmacher Institute,guttmacher,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
HE Foundation,hefoundation,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Health Poverty Action,hpa,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
HealthProm,hp_12,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
HelpAge International,helpage_international,0,0,0,2,0,0,0,0,0,0,1,0,Six-Monthly
HelpAge International UK,ageintl,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
Hope and Homes for Children,hhc,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
ICF Consulting Services Ltd,icf,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
IHE Delft Institute for Water Education,ihedelft,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
IRC,irc,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
IUCN Nederlands Comité,iucn_nl,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Institute for Security Studies,issafrica,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Institute of Development Studies,ids,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Integrity Action,integrity_action,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
International Organization for Migration (IOM),iom,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
International Trade Centre (ITC),itc,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
International Women's Development Agency,iwda,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Ipas,ipas,1,0,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Iraq Foundation,iraq_foundation,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
Irise International,irise_int,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
Irrawaddy Policy Exchange,ipe,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
Itad,itad,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Karuna Mission Social Solidarity - KMSS,kmss,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,111111_publisher,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
MAG,mag,0,0,2,0,0,0,0,0,0,0,1,0,Six-Monthly
MDF Global,mdf,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
Malaria Consortium,malariaconsortium,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Mama Cash,mamac,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Marie Stopes International,msi,0,0,2,0,0,0,0,0,0,0,1,0,Six-Monthly
